	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
so4[e]	0.9444991548493897	0.9456638759150623	0.9541175755626811	0.9427067737168777	0.9432534184674358	0.9505868311853136	0.9511724585197979	0.954306676247913	0.9634648801681729
xolest_hs[c]	0.9289517801369075	0.9284742628536258	0.9286058192038311	1.0021282778928904	1.0020012889830305	1.0020901687641475	1.00162050389453	1.0014170459396825	1.001516532988331
R1coa_hs[r]	1.000546025968256	1.0005831410420032	1.0004802787060953	1.0004808194420276	1.000566797735166	1.0004141035292442	1.000243061682015	1.000277991418879	1.0001763578660468
xolest_hs[r]	1.0021477654883493	1.0019578727463254	1.0018507683362552	1.0008224256680223	1.0007547064011475	1.0005674946474787	1.000670893217367	1.0005121035833597	1.0003962063285496
R2coa_hs[r]	1.000546025968256	1.0005831410420032	1.0004802787060953	1.0004808194420276	1.000566797735166	1.0004141035292442	1.000243061682015	1.000277991418879	1.0001763578660468
sphs1p[c]	1.0130035837616191	1.0172011251808268	1.0110615503466973	0.9938473887820032	0.9974514882671817	0.9917494752053128	0.9952347920707345	0.9983720829955554	0.9932426957919246
spmd[c]	0.997819516911499	0.9998966890224903	0.9906569863639763	0.995199923375099	0.997483954848955	0.9880880189768717	1.0028674625975518	1.0049138079047715	0.9965206492269832
o2[e]	1.0000383398376023	0.9981830979818536	0.9963418202489241	1.0025908474955296	1.0000821000702071	0.9989905058110558	1.0037565891956126	1.0023452079158275	1.0001817887985098
nadph[n]	0.9934616957199398	0.9957254856773836	0.9865211612333059	1.0116065197560693	1.0141881307705456	1.00575970157184	1.0166761955108445	1.0196669881622618	1.0114946305956516
nadp[n]	1.0116352632136594	1.0060551481731694	0.9999818218959605	1.028242612522392	1.0222176541689671	1.0172422416958693	1.0246986931833542	1.0203170719857793	1.0153201897482977
thbpt[n]	1.0161660467153228	1.034618396407828	1.0232764340121348	0.9970975059048313	1.016722245914052	1.0052441887997845	1.008763877164677	1.0261768366125426	1.0153147913812801
sql[r]	0.9695070169334952	0.9550748995480377	0.962624107098882	0.9480859017804252	0.9344742284070486	0.9417162830860063	0.9649165686809406	0.9506528505946145	0.9581153741947923
f5hoxkyn[c]	1.0067474275516466	1.0059221927148196	1.0049769511768416	1.0028772155596726	1.0021281779842446	1.0013198382343036	1.0038693010931832	1.0030698933384634	1.002090131057187
nmthsrtn[c]	1.0009389824044497	0.9979365254336569	0.9995389678819132	0.9970795851233136	0.9945375583156388	0.9959558125891658	0.9989673082951815	0.9962838224744138	0.99773031983978
gm1b_hs[g]	0.9993088385118442	0.9995972305604482	0.9989791468359346	0.9994717367820792	0.9998748112079968	0.9991105512805744	0.9991963110044264	0.9995271478829024	0.9988478200775015
gd1a_hs[g]	0.9865550273311118	0.984390363219773	0.9856031840125348	0.9892266702626423	0.9867354149125901	0.9881682079341886	0.9914861130222424	0.9884495144698593	0.9903651189759057
gt1b_hs[g]	0.997202795472669	0.997771662693644	0.9965714756944771	0.9979677422109492	0.9986560597563564	0.9972926430379364	0.9974262946581355	0.9980482118220109	0.9967681387854892
gt1alpha_hs[g]	0.997997450342921	0.9976434504049316	0.9977372072194876	0.9982397106687542	0.9978980959822273	0.9979564719656288	0.9984856683121849	0.9979943955121344	0.9981924449008606
gq1c_hs[g]	0.99758444449627	0.9981446242813682	0.9969418989848134	0.9983111841087028	0.998952489945707	0.9976647452697288	0.99778397293577	0.9983708187711132	0.9971422052920582
strdnccrn[c]	0.9684756841737931	0.9655375007389652	0.9642089096659523	0.9858535137974885	0.9832428881514401	0.981854885442971	0.9858815395348596	0.9831102773090247	0.9818536473883944
strdnccrn[m]	1.0173945932386355	1.0144520377175854	1.0107730188139674	0.994198013247736	0.9916920866389225	0.9882784938727777	0.9940874322642577	0.991463622252116	0.9881433188373996
