fullName	ko1_wt1	ko1_wt2	ko1_wt3	ko1_wt4	ko1_wt5	ko2_wt1	ko2_wt2	ko2_wt3	ko2_wt4	ko2_wt5	ko3_wt1	ko3_wt2	ko3_wt3	ko3_wt4	ko3_wt5	ko4_wt1	ko4_wt2	ko4_wt3	ko4_wt4	ko4_wt5	ko5_wt1	ko5_wt2	ko5_wt3	ko5_wt4	ko5_wt5
2,3-Diphosphoglyceric acid	1.1485573382764687	1.3704943762389665	0.9683809681744052	1.4117710528874543	1.2510620381088327	1.0370374757074023	1.2374254040627959	0.8743554381583198	1.274694297073721	1.1295894203250003	0.9465808186375021	1.1294897044888368	0.7980888886078918	1.1635077800959217	1.031059824994392	1.1415821946923899	1.3621714177441087	0.9625000286061276	1.403197422757231	1.2434643875104792	1.8448777504656138	2.201365571923158	1.55546827539338	2.2676665042529542	2.009526596227778
6-Phosphogluconic acid	0.49907687969605335	1.0227415923896628	0.680532259432486	0.47748549041250404	0.48136314683661396	0.6384262531195147	1.308305612426834	0.8705465594419828	0.6108062404105785	0.615766593739783	0.4956239476957317	1.0156656140863343	0.6758239034427701	0.4741819414071109	0.47803276973218883	0.7039436286611074	1.4425681834187192	0.959884874686241	0.6734891605451875	0.6789585614430038	0.9227410850790807	1.890942508280267	1.2582331521397792	0.8828208587844851	0.8899902409817253
ADP	1.1690297513544192	1.2068618694478315	0.8395855338478398	1.319287893323773	1.1544239326341486	1.1024484859362385	1.1381259024121846	0.7917675316065604	1.2441487813494092	1.0886745313252753	1.1246144995766487	1.1610092521552327	0.8076869420184861	1.2691638448284712	1.1105636035306128	1.12662568379155	1.1630855222746093	0.8091313545073708	1.2714335312781864	1.1125496600770162	1.0426842737939992	1.0764276019981067	0.7488454691883003	1.1767029345333295	1.0296570112560974
Adenosine monophosphate	1.3639708157888188	1.3428755948007305	1.098169099574695	1.9649652056513776	1.5056544864525818	1.2825859286641057	1.2627494092252827	1.0326439672344938	1.8477204159427052	1.41581567244695	1.2963873847601737	1.2763374115121242	1.043755885787585	1.867603085499982	1.4310507669592951	1.151206293469053	1.1334016961254043	0.9268667365089496	1.6584521347587335	1.2707888618509078	1.5035585586366869	1.4803044686694984	1.210554895590613	2.1660582603241396	1.6597420291183203
Adenosine triphosphate	0.7608689487808638	0.7804141452729327	0.5844665487673038	0.732021771217748	0.6071460709717197	0.7886387212493071	0.8088972674717145	0.6057980843762814	0.758738695415056	0.6293053511907497	0.730879411861189	0.7496542373284706	0.5614298863162249	0.7031692415290078	0.5832154985121437	0.8291507452718369	0.8504499640976939	0.6369176653526967	0.7977147682697905	0.6616324901176334	0.7355032164364096	0.7543968181648442	0.5649816925853384	0.707617741655529	0.5869051283561325
Citric acid	0.6353884157478175	0.7952810074502453	0.5439844628584831	0.6947281573120663	0.5857038539307169	0.681536534522068	0.8530420894610414	0.5834939329419032	0.7451861082674989	0.6282433940731338	0.5650314640258283	0.7072190502917447	0.4837487272953768	0.6178004793556091	0.5208485044262936	0.6664810351408476	0.8341979424498444	0.5706042460339034	0.7287245564303947	0.6143651681063385	0.5939978088577272	0.7434746434519557	0.5085481116464572	0.6494720283961225	0.547549809300355
Cyclic AMP	0.8137957502786578	0.8948924926719607	0.6915618287757522	1.097262705858013	0.9019066873376227	0.8278809322030154	0.9103812975197502	0.7035313852239304	1.1162541356185285	0.9175168939104578	0.7047051087123366	0.7749307011228647	0.598856842840286	0.9501728586723274	0.7810046316056698	0.7259850926250647	0.7983312876228061	0.6169405261059773	0.9788652335350613	0.8045886326166786	0.8030535399830868	0.8830797947745852	0.6824331222243172	1.0827786946896358	0.890001401153657
D-Glucose	0.6955738828902512	0.7013900104171424	0.5367478524066989	0.7137571953951501	0.6265509303068005	0.7182719472093222	0.7242778674238639	0.5542630834651552	0.7370486201133422	0.6469966279747238	0.6199045014700919	0.6250879100536094	0.47835667503608115	0.6361097063386058	0.5583903473827555	0.7092272210774327	0.7151575126895745	0.5472836130647917	0.7277674516913915	0.6388494250510629	0.700618962840948	0.7064772754312787	0.5406409483025719	0.7189341610701564	0.6310953785880481
D-Sedoheptulose 7-phosphate	0.6349662058875657	0.9008163648527443	0.6839483369850851	0.7975184521062063	0.7257675885787346	0.6109754061895275	0.8667810023822512	0.658106855337287	0.7673859737749777	0.6983460586083605	0.5647914840636953	0.8012606133311823	0.6083602445089858	0.7093789023049265	0.6455577472280403	0.44081295109958735	0.6253742585158214	0.4748178438955162	0.5536616896609491	0.5038500467700059	0.5715183596475093	0.8108039237531247	0.6156060401529038	0.7178278675464946	0.6532465788947738
Fructose 1,6-bisphosphate	0.9509203815364121	1.1011905960915216	0.8819501244632757	1.155759091595683	1.018454376382404	0.8464957798573727	0.9802641845829488	0.7850994393417157	1.0288402820715796	0.906613580194848	0.7797249026998638	0.9029417678525051	0.7231714540308527	0.9476862235120992	0.8351006613676338	1.1308839099048045	1.3095930543063001	1.0488608977783982	1.3744887435265292	1.2111988443891506	1.2599436604595702	1.4590476105491708	1.1685599443810883	1.5313493839744068	1.3494243681232736
